rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,SLSG Navy ECNL G06,St. Louis Scott Gallagher,20075,14,12,0,2,38,2.71,50,7,43
2,Michigan Hawks ECNL G06/05,Michigan Hawks,19884,14,12,1,1,37,2.64,40,7,33
3,Sporting Blue Valley ECNL G06/05,Sporting Blue Valley,46619,14,10,1,3,33,2.36,47,16,31
4,Minnesota Thunder ECNL G06/05,No Club Selection,20378,14,10,2,2,32,2.29,50,20,30
5,Gretna Elite Academy ECNL G06/05,Gretna Elite Academy,11467,14,7,6,1,22,1.57,25,29,-4
6,Chicago Inter Soccer ECNL G06/05,Chicago Inter,69854,14,5,5,4,19,1.36,25,20,5
7,Eclipse Select SC ECNL G06/05,Eclipse Select Soccer Club,20375,14,5,6,3,18,1.29,29,34,-5
8,Sporting Iowa ECNL G06/05,Sporting Iowa Central,59754,14,6,8,0,18,1.29,27,32,-5
9,Rockford Raptors ECNL G06/05,Rockford Raptors FC,46931,14,4,7,3,15,1.07,26,38,-12
10,Michigan Hawks Magic ECNL G06/05,Michigan Hawks,20377,14,3,7,4,13,0.93,11,24,-13
11,SLSG Green MO ECNL G06,St. Louis Scott Gallagher,20379,14,4,9,1,13,0.93,20,33,-13
12,Liverpool FC IA Michigan ECNL G06/05,Liverpool FC-IA Michigan,58650,14,3,8,3,12,0.86,20,39,-19
13,Midwest United FC ECNL G06/05,Midwest United FC,59330,14,3,8,3,12,0.86,12,32,-20
14,Kansas City Athletics ECNL G06/05,KC Athletics,19378,14,2,9,3,9,0.64,14,36,-22
15,FC Wisconsin ECNL G06/05,FC Wisconsin Girls,20376,14,2,11,1,7,0.5,11,40,-29
