rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,14,13,1,0,39,2.79,43,11,32
2,Michigan Hawks ECNL G08,Michigan Hawks,46771,14,12,1,1,37,2.64,56,9,47
3,Minnesota Thunder ECNL G08,Minnesota Thunder Academy,46774,14,11,2,1,34,2.43,49,14,35
4,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,14,9,2,3,30,2.14,33,8,25
5,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,14,8,4,2,26,1.86,26,15,11
6,Liverpool FC IA Michigan ECNL G08,Liverpool FC-IA Michigan,59307,14,7,5,2,23,1.64,19,14,5
7,Kansas City Athletics ECNL G08,KC Athletics,19672,14,6,5,3,21,1.5,26,23,3
8,Michigan Hawks Magic ECNL G08,Michigan Hawks,46773,14,6,7,1,19,1.36,17,24,-7
9,FC Wisconsin ECNL G08,FC Wisconsin Girls,46764,14,3,5,6,15,1.07,11,16,-5
10,Midwest United FC ECNL G08,Midwest United FC,59334,14,2,6,6,12,0.86,21,29,-8
11,Rockford Raptors ECNL G08,Rockford Raptors FC,60410,14,3,10,1,10,0.71,14,44,-30
12,SLSG Green MO ECNL G08,St. Louis Scott Gallagher,46767,14,2,8,4,10,0.71,12,26,-14
13,Gretna Elite Academy ECNL G08,Gretna Elite Academy,46765,14,2,9,3,9,0.64,9,35,-26
14,Sporting Iowa ECNL G08,Sporting Iowa Central,59751,14,2,11,1,7,0.5,12,52,-40
15,Chicago Inter Soccer ECNL G08,Chicago Inter,69851,14,1,11,2,5,0.36,5,33,-28
