rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,SLSG Navy ECNL G06,St. Louis Scott Gallagher,20075,14,12,0,2,38,2.71,50,7,43,G2006/2005,ECNL
2,Michigan Hawks ECNL G06/05,Michigan Hawks,19884,14,12,1,1,37,2.64,40,7,33,G2006/2005,ECNL
3,Sporting Blue Valley ECNL G06/05,Sporting Blue Valley,46619,14,10,1,3,33,2.36,47,16,31,G2006/2005,ECNL
4,Minnesota Thunder ECNL G06/05,No Club Selection,20378,14,10,2,2,32,2.29,50,20,30,G2006/2005,ECNL
5,Gretna Elite Academy ECNL G06/05,Gretna Elite Academy,11467,14,7,6,1,22,1.57,25,29,-4,G2006/2005,ECNL
6,Chicago Inter Soccer ECNL G06/05,Chicago Inter,69854,14,5,5,4,19,1.36,25,20,5,G2006/2005,ECNL
7,Eclipse Select SC ECNL G06/05,Eclipse Select Soccer Club,20375,14,5,6,3,18,1.29,29,34,-5,G2006/2005,ECNL
8,Sporting Iowa ECNL G06/05,Sporting Iowa Central,59754,14,6,8,0,18,1.29,27,32,-5,G2006/2005,ECNL
9,Rockford Raptors ECNL G06/05,Rockford Raptors FC,46931,14,4,7,3,15,1.07,26,38,-12,G2006/2005,ECNL
10,Michigan Hawks Magic ECNL G06/05,Michigan Hawks,20377,14,3,7,4,13,0.93,11,24,-13,G2006/2005,ECNL
11,SLSG Green MO ECNL G06,St. Louis Scott Gallagher,20379,14,4,9,1,13,0.93,20,33,-13,G2006/2005,ECNL
12,Liverpool FC IA Michigan ECNL G06/05,Liverpool FC-IA Michigan,58650,14,3,8,3,12,0.86,20,39,-19,G2006/2005,ECNL
13,Midwest United FC ECNL G06/05,Midwest United FC,59330,14,3,8,3,12,0.86,12,32,-20,G2006/2005,ECNL
14,Kansas City Athletics ECNL G06/05,KC Athletics,19378,14,2,9,3,9,0.64,14,36,-22,G2006/2005,ECNL
15,FC Wisconsin ECNL G06/05,FC Wisconsin Girls,20376,14,2,11,1,7,0.5,11,40,-29,G2006/2005,ECNL
1,Michigan Hawks  ECNL G07,Michigan Hawks,35251,14,14,0,0,42,3.0,54,12,42,G2007,ECNL
2,SLSG Navy ECNL G07,St. Louis Scott Gallagher,34464,14,12,2,0,36,2.57,38,5,33,G2007,ECNL
3,Kansas City Athletics ECNL G07,KC Athletics,19372,14,10,2,2,32,2.29,35,15,20,G2007,ECNL
4,Minnesota Thunder ECNL G07,No Club Selection,35253,14,10,2,2,32,2.29,42,13,29,G2007,ECNL
5,Gretna Elite Academy ECNL G07,No Club Selection,35249,14,9,3,2,29,2.07,45,19,26,G2007,ECNL
6,Sporting Blue Valley ECNL G07,Sporting Blue Valley,46618,14,6,4,4,22,1.57,27,20,7,G2007,ECNL
7,Eclipse Select SC ECNL G07,Eclipse Select Soccer Club,13614,14,6,6,2,20,1.43,40,28,12,G2007,ECNL
8,Midwest United FC ECNL G07,Midwest United FC,59332,14,6,7,1,19,1.36,26,21,5,G2007,ECNL
9,Rockford Raptors ECNL G07,Rockford Raptors FC,15637,14,4,5,5,17,1.21,16,21,-5,G2007,ECNL
10,Chicago Inter Soccer ECNL G07,Chicago Inter,69853,14,4,8,2,14,1.0,10,30,-20,G2007,ECNL
11,Michigan Hawks Magic ECNL G07,Michigan Hawks,35252,14,4,9,1,13,0.93,18,30,-12,G2007,ECNL
12,SLSG Green MO ECNL G07,St. Louis Scott Gallagher,35254,14,3,9,2,11,0.79,18,30,-12,G2007,ECNL
13,Liverpool FC IA Michigan ECNL G07,Liverpool FC-IA Michigan,58649,14,2,9,3,9,0.64,10,42,-32,G2007,ECNL
14,Sporting Iowa ECNL G07,Sporting Iowa Central,59752,14,2,12,0,6,0.43,13,51,-38,G2007,ECNL
15,FC Wisconsin ECNL G07,FC Wisconsin Girls,35250,14,0,14,0,0,0.0,5,60,-55,G2007,ECNL
1,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,14,13,1,0,39,2.79,43,11,32,G2008,ECNL
2,Michigan Hawks ECNL G08,Michigan Hawks,46771,14,12,1,1,37,2.64,56,9,47,G2008,ECNL
3,Minnesota Thunder ECNL G08,Minnesota Thunder Academy,46774,14,11,2,1,34,2.43,49,14,35,G2008,ECNL
4,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,14,9,2,3,30,2.14,33,8,25,G2008,ECNL
5,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,14,8,4,2,26,1.86,26,15,11,G2008,ECNL
6,Liverpool FC IA Michigan ECNL G08,Liverpool FC-IA Michigan,59307,14,7,5,2,23,1.64,19,14,5,G2008,ECNL
7,Kansas City Athletics ECNL G08,KC Athletics,19672,14,6,5,3,21,1.5,26,23,3,G2008,ECNL
8,Michigan Hawks Magic ECNL G08,Michigan Hawks,46773,14,6,7,1,19,1.36,17,24,-7,G2008,ECNL
9,FC Wisconsin ECNL G08,FC Wisconsin Girls,46764,14,3,5,6,15,1.07,11,16,-5,G2008,ECNL
10,Midwest United FC ECNL G08,Midwest United FC,59334,14,2,6,6,12,0.86,21,29,-8,G2008,ECNL
11,Rockford Raptors ECNL G08,Rockford Raptors FC,60410,14,3,10,1,10,0.71,14,44,-30,G2008,ECNL
12,SLSG Green MO ECNL G08,St. Louis Scott Gallagher,46767,14,2,8,4,10,0.71,12,26,-14,G2008,ECNL
13,Gretna Elite Academy ECNL G08,Gretna Elite Academy,46765,14,2,9,3,9,0.64,9,35,-26,G2008,ECNL
14,Sporting Iowa ECNL G08,Sporting Iowa Central,59751,14,2,11,1,7,0.5,12,52,-40,G2008,ECNL
15,Chicago Inter Soccer ECNL G08,Chicago Inter,69851,14,1,11,2,5,0.36,5,33,-28,G2008,ECNL
1,SLSG Navy ECNL G09,St. Louis Scott Gallagher,54343,14,11,1,2,35,2.5,36,9,27,G2009,ECNL
2,Eclipse Select SC ECNL G09,Eclipse Select Soccer Club,59906,14,10,2,2,32,2.29,46,9,37,G2009,ECNL
3,Kansas City Athletics ECNL G09,KC Athletics,33175,14,10,3,1,31,2.21,49,15,34,G2009,ECNL
4,Sporting Blue Valley ECNL G09,Sporting Blue Valley,60884,14,10,3,1,31,2.21,34,13,21,G2009,ECNL
5,Michigan Hawks ECNL G09,Michigan Hawks,50646,14,9,2,3,30,2.14,33,14,19,G2009,ECNL
6,Minnesota Thunder ECNL G09,Minnesota Thunder Academy,52518,14,8,4,2,26,1.86,30,13,17,G2009,ECNL
7,Chicago Inter Soccer ECNL G09,Chicago Inter,69850,14,7,7,0,21,1.5,17,23,-6,G2009,ECNL
8,Rockford Raptors ECNL G09,Rockford Raptors FC,60409,14,6,7,1,19,1.36,26,33,-7,G2009,ECNL
9,Gretna Elite Academy ECNL G09,Gretna Elite Academy,55220,14,5,7,2,17,1.21,20,20,0,G2009,ECNL
10,Midwest United FC ECNL G09,Midwest United FC,59336,14,5,7,2,17,1.21,15,21,-6,G2009,ECNL
11,SLSG Green MO ECNL G09,St. Louis Scott Gallagher,53259,14,5,7,2,17,1.21,19,28,-9,G2009,ECNL
12,FC Wisconsin ECNL G09,FC Wisconsin Girls,53835,14,4,9,1,13,0.93,17,28,-11,G2009,ECNL
13,Liverpool FC IA Michigan ECNL G09,Liverpool FC-IA Michigan,58647,14,2,10,2,8,0.57,13,31,-18,G2009,ECNL
14,Michigan Hawks Magic ECNL G09,Michigan Hawks,54823,14,2,11,1,7,0.5,12,33,-21,G2009,ECNL
15,Sporting Iowa ECNL G09,Sporting Iowa Central,59750,14,0,14,0,0,0.0,3,80,-77,G2009,ECNL
1,Michigan Hawks ECNL G10,Michigan Hawks,69108,14,11,1,2,35,2.5,42,12,30,G2010,ECNL
2,SLSG Navy ECNL G10,St. Louis Scott Gallagher,68758,14,11,2,1,34,2.43,38,10,28,G2010,ECNL
3,SLSG Green MO ECNL G10,St. Louis Scott Gallagher,68780,14,9,2,3,30,2.14,41,13,28,G2010,ECNL
4,Liverpool FC IA Michigan ECNL G10,Liverpool FC-IA Michigan,69186,14,9,4,1,28,2.0,30,21,9,G2010,ECNL
5,Kansas City Athletics ECNL G10,KC Athletics,46766,14,8,3,3,27,1.93,45,19,26,G2010,ECNL
6,Eclipse Select SC ECNL G10,Eclipse Select Soccer Club,69955,14,8,4,2,26,1.86,45,18,27,G2010,ECNL
7,Minnesota Thunder ECNL G10,Minnesota Thunder Academy,69526,14,8,4,2,26,1.86,25,18,7,G2010,ECNL
8,Michigan Hawks Magic ECNL G10,Michigan Hawks,69104,14,5,5,4,19,1.36,32,34,-2,G2010,ECNL
9,Sporting Blue Valley ECNL G10,Sporting Blue Valley,68425,14,5,7,2,17,1.21,21,24,-3,G2010,ECNL
10,Midwest United FC ECNL G10,Midwest United FC,59338,14,5,8,1,16,1.14,15,22,-7,G2010,ECNL
11,Gretna Elite Academy ECNL G10,Gretna Elite Academy,60717,14,3,10,1,10,0.71,14,36,-22,G2010,ECNL
12,FC Wisconsin ECNL G10,FC Wisconsin Girls,68013,14,3,10,1,10,0.71,15,35,-20,G2010,ECNL
13,Chicago Inter Soccer ECNL G10,Chicago Inter,69849,14,3,11,0,9,0.64,9,40,-31,G2010,ECNL
14,Sporting Iowa ECNL G10,Sporting Iowa Central,69510,14,2,10,2,8,0.57,14,40,-26,G2010,ECNL
15,Rockford Raptors ECNL G10,Rockford Raptors FC,68288,14,2,11,1,7,0.5,11,55,-44,G2010,ECNL
1,Eclipse Select SC ECNL G11,Eclipse Select Soccer Club,78148,14,12,1,1,37,2.64,50,7,43,G2011,ECNL
2,SLSG Navy ECNL G11,St. Louis Scott Gallagher,79620,14,11,1,2,35,2.5,50,11,39,G2011,ECNL
3,Michigan Hawks ECNL G11,Michigan Hawks,54493,14,10,1,3,33,2.36,45,8,37,G2011,ECNL
4,Sporting Blue Valley ECNL G11,Sporting Blue Valley,79701,14,11,3,0,33,2.36,39,11,28,G2011,ECNL
5,Liverpool FC IA Michigan ECNL G11,Liverpool FC-IA Michigan,69697,14,10,4,0,30,2.14,28,13,15,G2011,ECNL
6,SLSG Green MO ECNL G11,St. Louis Scott Gallagher,79621,14,9,3,2,29,2.07,34,11,23,G2011,ECNL
7,Chicago Inter Soccer ECNL G11,Chicago Inter,79680,14,8,5,1,25,1.79,27,21,6,G2011,ECNL
8,Kansas City Athletics ECNL G11,KC Athletics,79772,14,7,5,2,23,1.64,35,30,5,G2011,ECNL
9,Midwest United FC ECNL G11,Midwest United FC,71849,14,6,8,0,18,1.29,22,35,-13,G2011,ECNL
10,Sporting Iowa ECNL G11,Sporting Iowa Central,79780,14,4,10,0,12,0.86,19,54,-35,G2011,ECNL
11,Minnesota Thunder ECNL G11 ,Minnesota Thunder Academy,71852,14,3,9,2,11,0.79,14,26,-12,G2011,ECNL
12,Michigan Hawks Magic ECNL G11,Michigan Hawks,79687,14,3,10,1,10,0.71,8,41,-33,G2011,ECNL
13,Rockford Raptors ECNL G11,Rockford Raptors FC,68287,14,2,11,1,7,0.5,15,34,-19,G2011,ECNL
14,Gretna Elite Academy ECNL G11,Gretna Elite Academy,60713,14,0,12,2,2,0.14,5,50,-45,G2011,ECNL
15,FC Wisconsin ECNL G11,FC Wisconsin Girls,71855,14,0,13,1,1,0.07,3,42,-39,G2011,ECNL
