rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Athletic Club Florida ECNL G2008/07,Athletic Club Florida,38492,15,12,2,1,37,2.47,58,15,43
2,United Futbol Academy ECNL G08/07,United Futbol Academy,45834,15,12,2,1,37,2.47,52,15,37
3,CESA Liberty ECNL G08/07,Carolina Elite Soccer Academy,27972,15,11,1,3,36,2.4,29,10,19
4,FL Premier FC ECNL G08/07,Florida Premier FC,69291,15,9,4,2,29,1.93,27,16,11
5,Atlanta Fire United ECNL G08/07,Atlanta Fire United,43088,15,8,6,1,25,1.67,28,17,11
6,Jacksonville FC ECNL G08/07,Jacksonville FC,46814,15,7,4,4,25,1.67,30,17,13
7,South Carolina United ECNL G08/07,South Carolina United FC,43173,15,7,5,3,24,1.6,16,16,0
8,Concorde Fire Platinum ECNL G08/07,Concorde Fire ,35256,14,7,6,1,22,1.57,26,26,0
9,Florida Krush ECNL G08/07,Florida Kraze Krush,34961,15,7,6,2,23,1.53,30,20,10
10,Orlando Pride ECNL G08/07,Seminole United,28033,15,7,7,1,22,1.47,34,31,3
11,Alabama FC ECNL G08/07,Alabama FC,46807,15,7,7,1,22,1.47,27,24,3
12,Concorde Fire Premier ECNL G08/07,Concorde Fire ,35262,14,3,10,1,10,0.71,20,36,-16
13,Tampa Bay United ECNL G08/07,Tampa Bay United,36328,15,3,12,0,9,0.6,12,54,-42
14,GSA ECNL G08/07,Gwinnett Soccer Academy,46812,15,2,10,3,9,0.6,19,39,-20
15,Sporting Jax ECNL G08/07,Sporting SA,46901,15,2,12,1,7,0.47,11,45,-34
16,Florida West FC ECNL G08/07,AC Florida West,47396,15,1,11,3,6,0.4,16,54,-38
