rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,FL Premier FC ECNL G10,Florida Premier FC,69293,15,13,0,2,41,2.73,58,11,47
2,GSA ECNL G10,Gwinnett Soccer Academy,68924,15,12,2,1,37,2.47,68,15,53
3,Concorde Fire Platinum ECNL G10,Concorde Fire ,68802,15,11,1,3,36,2.4,42,12,30
4,Atlanta Fire United ECNL G10,Atlanta Fire United,67127,15,11,2,2,35,2.33,44,12,32
5,FC Prime ECNL G10,Athletic Club Florida,46727,14,9,3,2,29,2.07,26,12,14
6,Florida Krush ECNL G10,Florida Kraze Krush,34955,15,7,3,5,26,1.73,23,11,12
7,South Carolina United ECNL G10,South Carolina United FC,66055,15,7,6,2,23,1.53,31,35,-4
8,Tampa Bay United ECNL G10,Tampa Bay United,49144,15,4,4,7,19,1.27,18,20,-2
9,United Futbol Academy ECNL G10,United Futbol Academy,65981,15,5,7,3,18,1.2,19,22,-3
10,Orlando Pride ECNL G10,Seminole United,69112,15,5,9,1,16,1.07,20,38,-18
11,Alabama FC ECNL G10,Alabama FC,69023,15,4,8,3,15,1.0,23,29,-6
12,CESA Liberty ECNL G10,Carolina Elite Soccer Academy,65585,15,4,8,3,15,1.0,12,31,-19
13,Sporting Jax ECNL G10,Sporting SA,65960,15,4,10,1,13,0.87,16,20,-4
14,Florida West FC ECNL G10,AC Florida West,68716,15,2,12,1,7,0.47,4,63,-59
15,Jacksonville FC ECNL G10,Jacksonville FC,69484,15,1,11,3,6,0.4,13,41,-28
16,Concorde Fire Premier ECNL G10,Concorde Fire ,68797,14,0,13,1,1,0.07,6,51,-45
