rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Concorde Fire Platinum ECNL G09,Concorde Fire ,59255,15,12,0,3,39,2.6,58,9,49
2,United Futbol Academy ECNL G09,United Futbol Academy,59536,15,10,1,4,34,2.27,40,16,24
3,Concorde Fire Premier ECNL G09,Concorde Fire ,59236,14,8,1,5,29,2.07,24,9,15
4,GSA ECNL G09,Gwinnett Soccer Academy,59311,15,8,3,4,28,1.87,30,17,13
5,FL Premier FC ECNL G09,Florida Premier FC,69292,15,9,5,1,28,1.87,26,17,9
6,Sporting Jax ECNL G09,Sporting SA,45064,15,8,3,4,28,1.87,26,22,4
7,CESA Liberty ECNL G09,Carolina Elite Soccer Academy,46817,15,7,4,4,25,1.67,23,14,9
8,FC Prime ECNL G09,Athletic Club Florida,46728,15,7,4,4,25,1.67,25,18,7
9,Atlanta Fire United ECNL G09,Atlanta Fire United,60033,15,7,5,3,24,1.6,29,20,9
10,Orlando Pride ECNL G09,Seminole United,59913,15,6,8,1,19,1.27,28,33,-5
11,Florida Krush ECNL G09,Florida Kraze Krush,34958,15,4,8,3,15,1.0,17,21,-4
12,South Carolina United ECNL G09,South Carolina United FC,50959,15,4,10,1,13,0.87,13,29,-16
13,Jacksonville FC ECNL G09,Jacksonville FC,45667,15,3,11,1,10,0.67,10,42,-32
14,Alabama FC ECNL G09,Alabama FC,58734,14,3,11,0,9,0.64,17,34,-17
15,Tampa Bay United ECNL G09,Tampa Bay United,49152,15,2,11,2,8,0.53,6,33,-27
16,Florida West FC ECNL G09,AC Florida West,45629,15,0,13,2,2,0.13,6,44,-38
