rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Eclipse Select SC ECNL G10,Eclipse Select Soccer Club,69955,15,14,1,0,42,2.8,45,15,30
2,Michigan Hawks ECNL G10,Michigan Hawks,69108,15,12,2,1,37,2.47,44,8,36
3,Nationals SC ECNL G10,Nationals,94342,15,10,2,3,33,2.2,37,13,24
4,SLSG Navy ECNL G10,St. Louis Scott Gallagher,68758,15,10,2,3,33,2.2,35,8,27
5,Minnesota Thunder ECNL G10,Minnesota Thunder Academy,69526,15,8,4,3,27,1.8,30,18,12
6,SLSG Green ECNL G10,St. Louis Scott Gallagher,68780,15,7,5,3,24,1.6,22,25,-3
7,FC Wisconsin ECNL G10,FC Wisconsin Girls,68013,15,7,6,2,23,1.53,22,18,4
8,Kansas City Athletics ECNL G10,KC Athletics,46766,15,6,7,2,20,1.33,23,25,-2
9,Chicago Inter Soccer ECNL G10,Chicago Inter,69849,15,6,9,0,18,1.2,27,41,-14
10,Gretna Elite Academy ECNL G10,Gretna Elite Academy,60717,15,5,8,2,17,1.13,32,30,2
11,Sporting Blue Valley ECNL G10,Sporting Blue Valley,68425,15,5,8,2,17,1.13,25,36,-11
12,Liverpool FC IA Michigan ECNL G10,Liverpool FC-IA Michigan,69186,15,4,7,4,16,1.07,14,18,-4
13,Sporting Iowa ECNL G10,Sporting Iowa Central,69510,15,4,9,2,14,0.93,20,38,-18
14,Michigan Hawks Magic ECNL G10,Michigan Hawks,69104,15,3,11,1,10,0.67,16,32,-16
15,Midwest United FC ECNL G10,Midwest United FC,59338,15,2,11,2,8,0.53,10,30,-20
16,Rockford Raptors ECNL G10,Rockford Raptors FC,68288,15,1,12,2,5,0.33,9,56,-47
