rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Rockford Raptors ECNL G09 ,Rockford Raptors FC,60409,15,12,1,2,38,2.53,35,11,24
2,Kansas City Athletics ECNL G09,KC Athletics,33175,15,12,2,1,37,2.47,54,10,44
3,SLSG Navy ECNL G09,St. Louis Scott Gallagher,54343,15,11,1,3,36,2.4,32,14,18
4,Michigan Hawks ECNL G09,Michigan Hawks,50646,15,11,2,2,35,2.33,25,10,15
5,Nationals SC ECNL G09,Nationals,94331,15,9,3,3,30,2.0,37,11,26
6,Eclipse Select SC ECNL G09,Eclipse Select Soccer Club,59906,15,8,4,3,27,1.8,34,18,16
7,Minnesota Thunder ECNL G09,Minnesota Thunder Academy,52518,15,7,4,4,25,1.67,25,12,13
8,Gretna Elite Academy ECNL G09,Gretna Elite Academy,55220,15,6,5,4,22,1.47,24,22,2
9,Chicago Inter Soccer ECNL G09,Chicago Inter,69850,15,6,7,2,20,1.33,15,21,-6
10,Sporting Blue Valley ECNL G09,Sporting Blue Valley,60884,15,5,7,3,18,1.2,18,26,-8
11,Liverpool FC IA Michigan ECNL G09,Liverpool FC-IA Michigan,58647,15,4,10,1,13,0.87,13,28,-15
12,SLSG Green ECNL G09,St. Louis Scott Gallagher,53259,15,3,10,2,11,0.73,15,31,-16
13,Sporting Iowa ECNL G09,Sporting Iowa Central,59750,15,3,11,1,10,0.67,10,58,-48
14,Michigan Hawks Magic ECNL G09,Michigan Hawks,54823,15,2,10,3,9,0.6,10,25,-15
15,Midwest United FC ECNL G09,Midwest United FC,59336,15,2,11,2,8,0.53,13,37,-24
16,FC Wisconsin ECNL G09,FC Wisconsin Girls,53835,15,0,13,2,2,0.13,10,36,-26
