rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Midwest United FC ECNL G12,Midwest United FC,59332,15,12,0,3,39,2.6,36,3,33
2,Michigan Hawks ECNL G12,Michigan Hawks,64467,15,12,1,2,38,2.53,52,9,43
3,Kansas City Athletics ECNL G12,KC Athletics,95580,15,10,2,3,33,2.2,35,6,29
4,Eclipse Select SC ECNL G12,Eclipse Select Soccer Club,84211,15,10,2,3,33,2.2,42,14,28
5,SLSG Navy ECNL G12,St. Louis Scott Gallagher,94017,15,8,2,5,29,1.93,27,14,13
6,Chicago Inter Soccer ECNL G12,Chicago Inter,77722,15,8,3,4,28,1.87,30,15,15
7,Nationals SC ECNL G12,Nationals,94349,15,7,5,3,24,1.6,23,20,3
8,Minnesota Thunder ECNL G12,Minnesota Thunder Academy,71856,15,5,5,5,20,1.33,22,26,-4
9,Sporting Blue Valley ECNL G12,Sporting Blue Valley,94797,14,4,5,5,17,1.21,19,16,3
10,SLSG Green ECNL G12,St. Louis Scott Gallagher,94015,15,4,7,4,16,1.07,16,23,-7
11,Liverpool FC IA Michigan ECNL G12,Liverpool FC-IA Michigan,94483,15,3,6,6,15,1.0,17,17,0
12,Rockford Raptors ECNL G12,Rockford Raptors FC,95073,15,4,9,2,14,0.93,15,28,-13
13,Michigan Hawks Magic ECNL G12,Michigan Hawks,79690,15,3,9,3,12,0.8,8,40,-32
14,Sporting Iowa ECNL G12,Sporting Iowa Central,95236,15,1,12,2,5,0.33,7,41,-34
15,FC Wisconsin ECNL G12,FC Wisconsin Girls,79684,14,1,12,1,4,0.29,9,41,-32
16,Gretna Elite Academy ECNL G12,Gretna Elite Academy,94420,15,1,13,1,4,0.27,9,54,-45
