rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd,division,flight
1,Michigan Hawks ECNL G07/06,Michigan Hawks,35251,15,14,0,1,43,2.87,51,6,45,G2007/2006,ECNL
2,SLSG Navy ECNL G07/06,St. Louis Scott Gallagher,34464,15,12,0,3,39,2.6,43,11,32,G2007/2006,ECNL
3,Sporting Blue Valley ECNL G07/06,Sporting Blue Valley,46618,15,12,2,1,37,2.47,53,16,37,G2007/2006,ECNL
4,Minnesota Thunder ECNL G07/06,No Club Selection,20378,15,10,4,1,31,2.07,39,20,19,G2007/2006,ECNL
5,Chicago Inter Soccer ECNL G07/06,Chicago Inter,69853,15,9,5,1,28,1.87,39,24,15,G2007/2006,ECNL
6,Kansas City Athletics ECNL G07/06,KC Athletics,19372,15,9,5,1,28,1.87,41,24,17,G2007/2006,ECNL
7,Gretna Elite Academy ECNL G07/06,Gretna Elite Academy,11467,15,8,4,3,27,1.8,44,31,13,G2007/2006,ECNL
8,Nationals SC ECNL G07/06,Nationals,94343,15,8,5,2,26,1.73,48,19,29,G2007/2006,ECNL
9,Eclipse Select SC ECNL G07/06,Eclipse Select Soccer Club,13614,15,7,8,0,21,1.4,24,32,-8,G2007/2006,ECNL
10,Sporting Iowa ECNL G07/06,Sporting Iowa Central,59752,15,6,7,2,20,1.33,40,32,8,G2007/2006,ECNL
11,SLSG Green ECNL G07/06,St. Louis Scott Gallagher,35254,15,3,10,2,11,0.73,17,35,-18,G2007/2006,ECNL
12,Liverpool FC IA Michigan ECNL G07/06,Liverpool FC-IA Michigan,58649,15,3,11,1,10,0.67,12,46,-34,G2007/2006,ECNL
13,Michigan Hawks Magic ECNL G07/06,Michigan Hawks,35252,15,2,11,2,8,0.53,10,38,-28,G2007/2006,ECNL
14,Rockford Raptors ECNL G07/06,Rockford Raptors FC,15637,15,2,12,1,7,0.47,14,42,-28,G2007/2006,ECNL
15,Midwest United FC ECNL G07/06,Midwest United FC,59330,15,2,12,1,7,0.47,10,53,-43,G2007/2006,ECNL
16,FC Wisconsin ECNL G07/06,FC Wisconsin Girls,35250,15,2,13,0,6,0.4,6,62,-56,G2007/2006,ECNL
1,Michigan Hawks ECNL G08,Michigan Hawks,46771,15,14,0,1,43,2.87,66,8,58,G2008,ECNL
2,SLSG Navy ECNL G08,St. Louis Scott Gallagher,46768,15,13,0,2,41,2.73,52,6,46,G2008,ECNL
3,Nationals SC ECNL G08,Nationals,94344,15,11,2,2,35,2.33,39,13,26,G2008,ECNL
4,Sporting Blue Valley ECNL G08,Sporting Blue Valley,46617,15,10,2,3,33,2.2,51,25,26,G2008,ECNL
5,Gretna Elite Academy ECNL G08,Gretna Elite Academy,46765,15,7,5,3,24,1.6,29,30,-1,G2008,ECNL
6,Minnesota Thunder ECNL G08,Minnesota Thunder Academy,46774,15,8,7,0,24,1.6,41,18,23,G2008,ECNL
7,Kansas City Athletics ECNL G08,KC Athletics,19672,15,7,6,2,23,1.53,18,27,-9,G2008,ECNL
8,Liverpool FC IA Michigan ECNL G08,Liverpool FC-IA Michigan,59307,15,6,7,2,20,1.33,24,25,-1,G2008,ECNL
9,Eclipse Select SC ECNL G08,Eclipse Select Soccer Club,46760,15,6,8,1,19,1.27,27,29,-2,G2008,ECNL
10,Rockford Raptors ECNL G08 ,Rockford Raptors FC,60410,15,5,7,3,18,1.2,18,42,-24,G2008,ECNL
11,Midwest United FC ECNL G08,Midwest United FC,59334,15,5,7,3,18,1.2,17,31,-14,G2008,ECNL
12,Chicago Inter Soccer ECNL G08,Chicago Inter,69851,15,4,9,2,14,0.93,26,28,-2,G2008,ECNL
13,FC Wisconsin ECNL G08,FC Wisconsin Girls,46764,15,3,9,3,12,0.8,13,29,-16,G2008,ECNL
14,Michigan Hawks Magic ECNL G08,Michigan Hawks,46773,15,2,10,3,9,0.6,13,38,-25,G2008,ECNL
15,SLSG Green ECNL G08,St. Louis Scott Gallagher,46767,15,2,13,0,6,0.4,8,42,-34,G2008,ECNL
16,Sporting Iowa ECNL G08,Sporting Iowa Central,59751,15,1,12,2,5,0.33,20,71,-51,G2008,ECNL
1,Rockford Raptors ECNL G09 ,Rockford Raptors FC,60409,15,12,1,2,38,2.53,35,11,24,G2009,ECNL
2,Kansas City Athletics ECNL G09,KC Athletics,33175,15,12,2,1,37,2.47,54,10,44,G2009,ECNL
3,SLSG Navy ECNL G09,St. Louis Scott Gallagher,54343,15,11,1,3,36,2.4,32,14,18,G2009,ECNL
4,Michigan Hawks ECNL G09,Michigan Hawks,50646,15,11,2,2,35,2.33,25,10,15,G2009,ECNL
5,Nationals SC ECNL G09,Nationals,94331,15,9,3,3,30,2.0,37,11,26,G2009,ECNL
6,Eclipse Select SC ECNL G09,Eclipse Select Soccer Club,59906,15,8,4,3,27,1.8,34,18,16,G2009,ECNL
7,Minnesota Thunder ECNL G09,Minnesota Thunder Academy,52518,15,7,4,4,25,1.67,25,12,13,G2009,ECNL
8,Gretna Elite Academy ECNL G09,Gretna Elite Academy,55220,15,6,5,4,22,1.47,24,22,2,G2009,ECNL
9,Chicago Inter Soccer ECNL G09,Chicago Inter,69850,15,6,7,2,20,1.33,15,21,-6,G2009,ECNL
10,Sporting Blue Valley ECNL G09,Sporting Blue Valley,60884,15,5,7,3,18,1.2,18,26,-8,G2009,ECNL
11,Liverpool FC IA Michigan ECNL G09,Liverpool FC-IA Michigan,58647,15,4,10,1,13,0.87,13,28,-15,G2009,ECNL
12,SLSG Green ECNL G09,St. Louis Scott Gallagher,53259,15,3,10,2,11,0.73,15,31,-16,G2009,ECNL
13,Sporting Iowa ECNL G09,Sporting Iowa Central,59750,15,3,11,1,10,0.67,10,58,-48,G2009,ECNL
14,Michigan Hawks Magic ECNL G09,Michigan Hawks,54823,15,2,10,3,9,0.6,10,25,-15,G2009,ECNL
15,Midwest United FC ECNL G09,Midwest United FC,59336,15,2,11,2,8,0.53,13,37,-24,G2009,ECNL
16,FC Wisconsin ECNL G09,FC Wisconsin Girls,53835,15,0,13,2,2,0.13,10,36,-26,G2009,ECNL
1,Eclipse Select SC ECNL G10,Eclipse Select Soccer Club,69955,15,14,1,0,42,2.8,45,15,30,G2010,ECNL
2,Michigan Hawks ECNL G10,Michigan Hawks,69108,15,12,2,1,37,2.47,44,8,36,G2010,ECNL
3,Nationals SC ECNL G10,Nationals,94342,15,10,2,3,33,2.2,37,13,24,G2010,ECNL
4,SLSG Navy ECNL G10,St. Louis Scott Gallagher,68758,15,10,2,3,33,2.2,35,8,27,G2010,ECNL
5,Minnesota Thunder ECNL G10,Minnesota Thunder Academy,69526,15,8,4,3,27,1.8,30,18,12,G2010,ECNL
6,SLSG Green ECNL G10,St. Louis Scott Gallagher,68780,15,7,5,3,24,1.6,22,25,-3,G2010,ECNL
7,FC Wisconsin ECNL G10,FC Wisconsin Girls,68013,15,7,6,2,23,1.53,22,18,4,G2010,ECNL
8,Kansas City Athletics ECNL G10,KC Athletics,46766,15,6,7,2,20,1.33,23,25,-2,G2010,ECNL
9,Chicago Inter Soccer ECNL G10,Chicago Inter,69849,15,6,9,0,18,1.2,27,41,-14,G2010,ECNL
10,Gretna Elite Academy ECNL G10,Gretna Elite Academy,60717,15,5,8,2,17,1.13,32,30,2,G2010,ECNL
