rank,team,club,teamID,gp,w,l,d,pts,ppg,gf,ga,gd
1,Michigan Hawks ECNL G07/06,Michigan Hawks,35251,15,14,0,1,43,2.87,51,6,45
2,SLSG Navy ECNL G07/06,St. Louis Scott Gallagher,34464,15,12,0,3,39,2.6,43,11,32
3,Sporting Blue Valley ECNL G07/06,Sporting Blue Valley,46618,15,12,2,1,37,2.47,53,16,37
4,Minnesota Thunder ECNL G07/06,No Club Selection,20378,15,10,4,1,31,2.07,39,20,19
5,Chicago Inter Soccer ECNL G07/06,Chicago Inter,69853,15,9,5,1,28,1.87,39,24,15
6,Kansas City Athletics ECNL G07/06,KC Athletics,19372,15,9,5,1,28,1.87,41,24,17
7,Gretna Elite Academy ECNL G07/06,Gretna Elite Academy,11467,15,8,4,3,27,1.8,44,31,13
8,Nationals SC ECNL G07/06,Nationals,94343,15,8,5,2,26,1.73,48,19,29
9,Eclipse Select SC ECNL G07/06,Eclipse Select Soccer Club,13614,15,7,8,0,21,1.4,24,32,-8
10,Sporting Iowa ECNL G07/06,Sporting Iowa Central,59752,15,6,7,2,20,1.33,40,32,8
11,SLSG Green ECNL G07/06,St. Louis Scott Gallagher,35254,15,3,10,2,11,0.73,17,35,-18
12,Liverpool FC IA Michigan ECNL G07/06,Liverpool FC-IA Michigan,58649,15,3,11,1,10,0.67,12,46,-34
13,Michigan Hawks Magic ECNL G07/06,Michigan Hawks,35252,15,2,11,2,8,0.53,10,38,-28
14,Rockford Raptors ECNL G07/06,Rockford Raptors FC,15637,15,2,12,1,7,0.47,14,42,-28
15,Midwest United FC ECNL G07/06,Midwest United FC,59330,15,2,12,1,7,0.47,10,53,-43
16,FC Wisconsin ECNL G07/06,FC Wisconsin Girls,35250,15,2,13,0,6,0.4,6,62,-56
